City,Date,AQI_Bucket
Bengaluru,2019-07-31,Satisfactory
Bengaluru,2015-10-04,Moderate
Patna,2016-07-31,Satisfactory
Lucknow,2020-06-28,Satisfactory
Lucknow,2015-09-08,Moderate
Mumbai,2019-09-05,Good
Ahmedabad,2015-04-24,Poor
Amritsar,2019-11-23,Satisfactory
Patna,2015-12-31,Severe
Jaipur,2017-10-11,Poor
Bengaluru,2020-01-08,Satisfactory
Mumbai,2020-03-19,Moderate
Ahmedabad,2019-04-06,Severe
Amritsar,2019-12-14,Satisfactory
Mumbai,2018-05-25,Satisfactory
Visakhapatnam,2018-11-05,Good
Patna,2016-10-24,Poor
Talcher,2019-01-15,Very Poor
Amritsar,2017-11-27,Very Poor
Bengaluru,2019-11-25,Satisfactory
Visakhapatnam,2019-05-08,Moderate
Talcher,2019-02-25,Poor
Bengaluru,2019-08-25,Satisfactory
Visakhapatnam,2017-12-12,Moderate
Coimbatore,2019-07-03,Satisfactory
Delhi,2016-09-25,Moderate
Bengaluru,2020-06-25,Satisfactory
Thiruvananthapuram,2019-03-23,Satisfactory
Kolkata,2019-11-04,Moderate
Bengaluru,2018-04-25,Satisfactory
Lucknow,2015-04-30,Moderate
Kochi,2020-02-18,Moderate
Ahmedabad,2018-09-17,Severe
Chennai,2020-02-15,Moderate
Ernakulam,2020-05-13,Moderate
Thiruvananthapuram,2017-12-15,Moderate
Bengaluru,2016-02-10,Moderate
Coimbatore,2020-01-13,Satisfactory
Hyderabad,2019-11-20,Moderate
Amaravati,2019-05-29,Satisfactory
Bengaluru,2017-06-21,Satisfactory
Visakhapatnam,2016-10-10,Satisfactory
Ahmedabad,2018-04-09,Severe
Amritsar,2019-11-13,Very Poor
Visakhapatnam,2016-09-30,Moderate
Brajrajnagar,2019-11-27,Moderate
Lucknow,2019-04-09,Moderate
Chennai,2016-04-01,Moderate
Amritsar,2017-11-11,Very Poor
Chennai,2020-03-02,Satisfactory
Coimbatore,2019-07-15,Satisfactory
Chennai,2019-11-08,Poor
Talcher,2019-02-22,Severe
Bhopal,2019-11-04,Moderate
Chennai,2016-07-28,Satisfactory
Chennai,2018-07-08,Satisfactory
Visakhapatnam,2018-03-26,Satisfactory
Thiruvananthapuram,2019-09-26,Satisfactory
Jorapokhar,2019-09-06,Moderate
Mumbai,2019-09-22,Satisfactory
Delhi,2015-11-25,Very Poor
Amaravati,2019-08-28,Satisfactory
Ernakulam,2020-02-28,Moderate
Delhi,2020-02-22,Moderate
Delhi,2018-07-29,Satisfactory
Delhi,2018-10-11,Poor
Amaravati,2019-02-09,Moderate
Amritsar,2017-04-20,Satisfactory
Bengaluru,2015-04-05,Moderate
Ernakulam,2020-03-05,Moderate
Patna,2018-11-28,Very Poor
Gurugram,2018-03-19,Moderate
Lucknow,2017-02-08,Moderate
Thiruvananthapuram,2019-08-18,Satisfactory
Coimbatore,2019-10-05,Satisfactory
Jaipur,2018-06-11,Moderate
Talcher,2018-07-07,Moderate
Jaipur,2020-03-27,Satisfactory
Lucknow,2015-04-16,Moderate
Chennai,2020-01-19,Satisfactory
Visakhapatnam,2018-09-27,Satisfactory
Kolkata,2020-01-15,Very Poor
Delhi,2016-09-14,Moderate
Amritsar,2019-11-28,Good
Lucknow,2018-11-21,Very Poor
Bhopal,2020-04-20,Moderate
Kochi,2020-04-02,Satisfactory
Ernakulam,2020-05-06,Moderate
Visakhapatnam,2016-09-10,Satisfactory
Patna,2016-07-19,Moderate
Chennai,2017-06-01,Satisfactory
Bengaluru,2019-01-21,Moderate
Ahmedabad,2019-11-15,Severe
Patna,2020-06-17,Satisfactory
Visakhapatnam,2018-09-25,Satisfactory
Jaipur,2018-01-26,Poor
Patna,2017-03-10,Very Poor
Hyderabad,2018-09-28,Satisfactory
Lucknow,2016-12-05,Very Poor
Chennai,2015-05-12,Moderate
Jaipur,2019-11-28,Moderate
Thiruvananthapuram,2019-09-08,Satisfactory
Gurugram,2017-01-10,Very Poor
Kolkata,2020-01-12,Moderate
Jorapokhar,2019-04-14,Moderate
Delhi,2019-10-19,Moderate
Jaipur,2018-03-11,Moderate
Amritsar,2019-11-26,Moderate
Delhi,2018-03-30,Poor
Hyderabad,2019-05-24,Satisfactory
Talcher,2018-10-24,Moderate
Amaravati,2020-02-23,Satisfactory
Chennai,2018-02-13,Moderate
Coimbatore,2019-12-05,Satisfactory
Amritsar,2019-09-02,Satisfactory
Jaipur,2017-10-30,Moderate
Gurugram,2017-09-10,Moderate
Jorapokhar,2019-08-16,Moderate
Delhi,2018-12-10,Severe
Visakhapatnam,2016-10-18,Moderate
Kolkata,2019-04-11,Satisfactory
Lucknow,2017-12-25,Very Poor
Hyderabad,2017-06-19,Satisfactory
Hyderabad,2019-09-27,Good
Chennai,2018-03-10,Moderate
Kolkata,2019-01-16,Very Poor
Brajrajnagar,2018-06-07,Moderate
Coimbatore,2019-08-19,Satisfactory
Hyderabad,2020-03-05,Moderate
Amritsar,2018-07-04,Satisfactory
Jaipur,2020-04-09,Satisfactory
Visakhapatnam,2019-12-19,Moderate
Hyderabad,2018-06-12,Satisfactory
Jaipur,2018-05-17,Moderate
Chennai,2018-09-19,Satisfactory
Bengaluru,2019-10-03,Satisfactory
Patna,2020-02-02,Moderate
Lucknow,2017-03-26,Poor
Jaipur,2020-02-10,Moderate
Visakhapatnam,2018-03-11,Moderate
Ahmedabad,2020-06-13,Satisfactory
Bengaluru,2018-02-14,Satisfactory
Bengaluru,2019-09-23,Satisfactory
Bengaluru,2017-12-02,Good
Patna,2017-11-08,Very Poor
Gurugram,2020-05-13,Moderate
Ahmedabad,2020-06-23,Satisfactory
Lucknow,2019-10-04,Satisfactory
Chennai,2015-06-15,Moderate
Visakhapatnam,2019-09-12,Satisfactory
Hyderabad,2019-11-18,Moderate
Lucknow,2015-12-29,Very Poor
Ahmedabad,2020-02-26,Severe
Hyderabad,2019-02-19,Moderate
Delhi,2015-02-09,Poor
Ahmedabad,2015-06-26,Poor
Chennai,2019-11-03,Satisfactory
Chennai,2019-05-20,Satisfactory
Shillong,2020-02-16,Moderate
Brajrajnagar,2019-05-28,Moderate
Lucknow,2019-06-20,Moderate
Delhi,2018-02-11,Very Poor
Visakhapatnam,2018-06-24,Moderate
Chandigarh,2020-04-11,Good
Patna,2017-12-30,Severe
Guwahati,2019-09-11,Satisfactory
Bengaluru,2018-01-11,Satisfactory
Coimbatore,2019-08-04,Satisfactory
Bengaluru,2017-12-04,Satisfactory
Patna,2020-03-06,Moderate
Chennai,2019-10-06,Moderate
Patna,2018-11-02,Very Poor
Gurugram,2019-04-29,Poor
Chennai,2017-12-29,Satisfactory
Chennai,2019-03-29,Satisfactory
Bengaluru,2018-10-21,Satisfactory
Bengaluru,2016-08-18,Satisfactory
Amritsar,2019-10-03,Satisfactory
Brajrajnagar,2020-01-04,Satisfactory
Ahmedabad,2015-09-19,Poor
Amritsar,2018-02-01,Moderate
Bhopal,2020-01-14,Moderate
Amaravati,2020-02-25,Satisfactory
Visakhapatnam,2018-02-20,Moderate
Thiruvananthapuram,2018-02-13,Satisfactory
Talcher,2019-07-21,Satisfactory
Lucknow,2018-08-19,Moderate
Lucknow,2019-12-26,Very Poor
Amritsar,2019-04-06,Moderate
Visakhapatnam,2019-10-26,Satisfactory
Lucknow,2018-04-11,Moderate
Lucknow,2019-03-09,Poor
Delhi,2018-10-12,Moderate
Gurugram,2017-03-13,Moderate
Lucknow,2015-07-03,Satisfactory
Talcher,2020-05-04,Satisfactory
Mumbai,2018-11-24,Moderate
Hyderabad,2018-07-30,Satisfactory
Brajrajnagar,2018-06-10,Moderate
Gurugram,2016-11-14,Poor
Brajrajnagar,2019-04-04,Very Poor
Bengaluru,2019-06-01,Satisfactory
Ahmedabad,2017-10-22,Moderate
Jorapokhar,2019-09-17,Moderate
Mumbai,2019-05-28,Satisfactory
Chandigarh,2020-05-05,Satisfactory
Amritsar,2020-06-11,Satisfactory
Gurugram,2017-11-10,Severe
Amaravati,2019-04-27,Satisfactory
Jorapokhar,2018-07-05,Satisfactory
Delhi,2016-08-23,Moderate
Delhi,2016-08-24,Moderate
Thiruvananthapuram,2018-01-01,Moderate
Lucknow,2017-09-27,Moderate
Ahmedabad,2019-10-07,Severe
Ahmedabad,2018-01-01,Poor
Jaipur,2019-10-26,Moderate
Visakhapatnam,2019-09-19,Good
Chennai,2020-02-18,Satisfactory
Jorapokhar,2018-11-14,Very Poor
Bengaluru,2015-07-01,Moderate
Brajrajnagar,2019-10-27,Moderate
Jaipur,2019-04-25,Moderate
Gurugram,2018-07-02,Moderate
Mumbai,2019-01-21,Moderate
Visakhapatnam,2019-08-07,Satisfactory
Mumbai,2020-01-05,Poor
Chennai,2019-04-20,Satisfactory
Delhi,2020-04-09,Satisfactory
Delhi,2019-09-13,Moderate
Guwahati,2020-04-09,Moderate
Ahmedabad,2018-03-09,Severe
Chandigarh,2020-04-28,Good
Delhi,2018-05-08,Poor
Ahmedabad,2018-05-15,Poor
Patna,2018-07-04,Satisfactory
Jaipur,2019-11-23,Moderate
Brajrajnagar,2019-03-17,Poor
Mumbai,2019-09-20,Satisfactory
Chennai,2017-08-07,Satisfactory
Gurugram,2017-02-17,Very Poor
Bengaluru,2019-01-16,Moderate
Gurugram,2019-10-06,Satisfactory
Jaipur,2018-09-23,Satisfactory
Amritsar,2019-09-30,Good
Mumbai,2020-02-08,Moderate
Bengaluru,2016-10-17,Satisfactory
Jorapokhar,2018-07-10,Satisfactory
Lucknow,2017-01-23,Very Poor
Ahmedabad,2016-11-04,Very Poor
Visakhapatnam,2017-02-04,Poor
Bengaluru,2019-01-29,Satisfactory
Chennai,2017-04-12,Moderate
Hyderabad,2019-05-19,Moderate
Hyderabad,2016-02-08,Moderate
Jorapokhar,2020-05-29,Moderate
Amritsar,2018-02-08,Moderate
Amritsar,2020-02-01,Moderate
Kolkata,2019-04-17,Moderate
Visakhapatnam,2019-12-03,Moderate
Delhi,2019-05-29,Moderate
Chennai,2015-07-09,Poor
Jaipur,2019-03-19,Moderate
Thiruvananthapuram,2018-03-21,Satisfactory
Ahmedabad,2020-05-06,Moderate
Bhopal,2019-11-13,Moderate
Amritsar,2019-03-16,Satisfactory
Amritsar,2018-09-19,Satisfactory
Visakhapatnam,2019-02-03,Poor
Kolkata,2019-04-04,Satisfactory
Gurugram,2017-09-13,Moderate
Jaipur,2017-12-23,Moderate
Kolkata,2020-03-05,Satisfactory
Hyderabad,2016-06-26,Satisfactory
Jorapokhar,2018-07-14,Satisfactory
Guwahati,2019-05-21,Satisfactory
Patna,2018-03-20,Poor
Talcher,2018-11-05,Moderate
Thiruvananthapuram,2019-12-14,Satisfactory
Chennai,2018-06-12,Satisfactory
Delhi,2019-07-08,Moderate
Patna,2019-01-20,Severe
Chennai,2017-02-01,Moderate
Visakhapatnam,2017-11-07,Satisfactory
Delhi,2017-11-02,Very Poor
Amaravati,2019-08-17,Good
Thiruvananthapuram,2017-09-08,Satisfactory
Jaipur,2017-10-03,Moderate
Hyderabad,2019-09-17,Satisfactory
Gurugram,2019-03-28,Moderate
Delhi,2017-04-15,Very Poor
Hyderabad,2016-08-05,Moderate
Thiruvananthapuram,2020-06-27,Good
Ahmedabad,2018-11-04,Severe
Patna,2018-10-11,Moderate
Shillong,2020-03-23,Good
Bengaluru,2015-04-08,Moderate
Delhi,2015-08-18,Moderate
Gurugram,2016-06-13,Poor
Patna,2016-11-27,Severe
Visakhapatnam,2017-11-16,Satisfactory
Mumbai,2018-11-27,Moderate
Patna,2019-08-06,Moderate
Chandigarh,2020-06-24,Good
Amaravati,2019-04-26,Satisfactory
Lucknow,2019-03-29,Very Poor
Hyderabad,2016-06-05,Moderate
Brajrajnagar,2018-05-17,Moderate
Shillong,2020-03-11,Satisfactory
Thiruvananthapuram,2019-11-09,Satisfactory
Chennai,2019-08-01,Moderate
Amritsar,2019-10-13,Moderate
Ahmedabad,2019-04-16,Severe
Kolkata,2020-01-11,Moderate
Kolkata,2019-01-09,Very Poor
Amritsar,2018-09-18,Satisfactory
Mumbai,2019-11-07,Satisfactory
Thiruvananthapuram,2020-02-18,Satisfactory
Jorapokhar,2019-11-26,Very Poor
Jaipur,2019-09-10,Moderate
Patna,2016-03-30,Very Poor
Hyderabad,2015-09-01,Moderate
Mumbai,2020-06-08,Good
Hyderabad,2017-06-18,Satisfactory
Mumbai,2020-01-24,Moderate
Delhi,2017-12-13,Poor
Chennai,2019-08-09,Satisfactory
Ahmedabad,2015-07-26,Satisfactory
Jorapokhar,2019-04-25,Moderate
Chennai,2015-06-06,Moderate
Bengaluru,2019-12-22,Satisfactory
Jaipur,2018-11-26,Moderate
Chennai,2019-05-30,Moderate
Delhi,2018-05-29,Very Poor
Kolkata,2019-02-20,Poor
Gurugram,2017-06-01,Poor
Lucknow,2016-02-01,Very Poor
Ahmedabad,2020-05-25,Moderate
Hyderabad,2017-11-03,Moderate
Lucknow,2019-12-28,Very Poor
Amritsar,2019-06-09,Satisfactory
Hyderabad,2015-11-09,Moderate
Gurugram,2017-10-15,Moderate
Patna,2019-12-12,Severe
Hyderabad,2018-12-08,Moderate
Lucknow,2018-11-11,Very Poor
Amaravati,2019-04-28,Satisfactory
Jorapokhar,2019-04-21,Satisfactory
Gurugram,2017-04-14,Very Poor
Hyderabad,2017-05-09,Moderate
Kolkata,2019-03-07,Poor
Ahmedabad,2017-11-12,Severe
Mumbai,2019-06-25,Satisfactory
Visakhapatnam,2018-07-28,Moderate
Amritsar,2019-01-18,Moderate
Amritsar,2020-06-01,Good
Ahmedabad,2019-12-16,Moderate
Ahmedabad,2015-06-22,Moderate
Delhi,2016-08-10,Moderate
Lucknow,2017-08-27,Satisfactory
Bengaluru,2016-08-23,Satisfactory
Chennai,2018-01-03,Moderate
Ahmedabad,2015-08-18,Moderate
Ahmedabad,2020-06-09,Satisfactory
Gurugram,2020-04-01,Satisfactory
Patna,2017-11-21,Very Poor
Amaravati,2020-06-06,Good
Gurugram,2017-02-22,Poor
Chennai,2018-11-20,Satisfactory
Chennai,2017-07-13,Satisfactory
Talcher,2019-04-05,Moderate
Amaravati,2020-04-28,Good
Bhopal,2020-03-14,Moderate
Bhopal,2019-12-26,Poor
Jorapokhar,2017-06-18,Moderate
Visakhapatnam,2017-01-21,Poor
Amritsar,2020-05-10,Satisfactory
Ahmedabad,2015-08-29,Very Poor
Patna,2015-11-04,Poor
Bengaluru,2017-11-12,Satisfactory
Delhi,2020-05-06,Moderate
Amritsar,2019-02-05,Moderate
Jaipur,2020-06-04,Satisfactory
Hyderabad,2020-05-15,Satisfactory
Ahmedabad,2020-06-02,Moderate
Ernakulam,2020-04-29,Satisfactory
Delhi,2016-03-24,Very Poor
Lucknow,2020-03-24,Poor
Bengaluru,2019-02-23,Moderate
Amaravati,2019-02-06,Moderate
Kochi,2020-06-30,Satisfactory
Brajrajnagar,2018-08-08,Good
Chennai,2018-10-01,Satisfactory
Hyderabad,2019-03-30,Moderate
Chennai,2017-05-03,Satisfactory
Kolkata,2018-12-01,Very Poor
Jorapokhar,2020-04-20,Moderate
Hyderabad,2019-12-25,Moderate
Jaipur,2018-06-25,Satisfactory
Chennai,2015-10-29,Moderate
Kolkata,2019-12-11,Moderate
Thiruvananthapuram,2019-09-18,Satisfactory
Ahmedabad,2018-03-15,Severe
Bengaluru,2019-07-20,Good
Lucknow,2016-04-21,Moderate
Gurugram,2017-01-14,Severe
Hyderabad,2019-02-16,Satisfactory
Bengaluru,2017-02-03,Poor
Lucknow,2019-03-25,Moderate
Ernakulam,2020-03-14,Satisfactory
Gurugram,2018-01-16,Poor
Jaipur,2020-03-07,Satisfactory
Chennai,2015-05-11,Moderate
Lucknow,2016-04-14,Very Poor
Thiruvananthapuram,2018-09-29,Satisfactory
Gurugram,2020-03-17,Moderate
Amritsar,2019-10-08,Moderate
Gurugram,2017-09-05,Satisfactory
Hyderabad,2016-12-05,Moderate
Talcher,2019-07-02,Satisfactory
Lucknow,2018-08-06,Poor
Jaipur,2020-03-17,Moderate
Visakhapatnam,2018-11-11,Moderate
Ahmedabad,2018-07-04,Severe
Guwahati,2019-08-29,Good
Ernakulam,2020-02-13,Satisfactory
Gurugram,2017-02-15,Very Poor
Amaravati,2019-07-27,Satisfactory
Patna,2015-10-09,Poor
Lucknow,2015-05-09,Moderate
Patna,2018-05-30,Moderate
Visakhapatnam,2020-06-05,Satisfactory
Jorapokhar,2019-08-01,Satisfactory
Hyderabad,2017-01-29,Moderate
Ahmedabad,2018-03-11,Severe
Bengaluru,2018-08-31,Satisfactory
Hyderabad,2016-02-01,Moderate
Delhi,2016-04-22,Poor
Amritsar,2020-02-28,Moderate
Delhi,2016-03-20,Poor
Lucknow,2019-11-07,Very Poor
Mumbai,2018-09-19,Satisfactory
Lucknow,2018-08-30,Satisfactory
Ahmedabad,2016-06-30,Poor
Patna,2020-01-02,Very Poor
Thiruvananthapuram,2018-05-11,Satisfactory
Ahmedabad,2018-12-08,Severe
Mumbai,2020-06-28,Satisfactory
Talcher,2020-01-05,Moderate
Gurugram,2018-09-27,Moderate
Bengaluru,2016-01-15,Moderate
Visakhapatnam,2016-10-21,Moderate
Jaipur,2017-11-24,Poor
Chennai,2017-03-17,Moderate
Visakhapatnam,2019-10-13,Moderate
Hyderabad,2019-08-31,Good
Jaipur,2018-07-30,Moderate
Thiruvananthapuram,2018-05-18,Satisfactory
Ahmedabad,2019-02-08,Poor
Mumbai,2019-06-27,Satisfactory
Visakhapatnam,2017-11-12,Moderate
Patna,2015-12-09,Very Poor
Amritsar,2018-05-04,Moderate
Mumbai,2019-06-05,Satisfactory
Delhi,2017-09-19,Moderate
Talcher,2018-03-08,Poor
Jorapokhar,2019-08-22,Moderate
Visakhapatnam,2019-09-17,Satisfactory
Chandigarh,2019-09-11,Moderate
Talcher,2019-01-31,Very Poor
Delhi,2019-01-15,Poor
Delhi,2016-09-10,Poor
Mumbai,2018-07-15,Satisfactory
Patna,2018-02-23,Very Poor
Visakhapatnam,2019-06-20,Moderate
Amaravati,2020-05-03,Satisfactory
Bengaluru,2018-01-01,Satisfactory
Visakhapatnam,2017-01-26,Moderate
Lucknow,2020-01-25,Poor
Delhi,2015-03-05,Poor
Brajrajnagar,2020-03-25,Moderate
Bengaluru,2016-12-05,Poor
Jorapokhar,2019-05-11,Moderate
Kolkata,2018-08-09,Satisfactory
Patna,2019-10-04,Moderate
Brajrajnagar,2020-04-03,Moderate
Ahmedabad,2018-07-18,Severe
Jaipur,2018-01-14,Moderate
Guwahati,2020-04-26,Good
Patna,2020-04-11,Moderate
Kolkata,2018-10-28,Poor
Amritsar,2017-12-15,Moderate
Lucknow,2018-10-23,Poor
Lucknow,2017-12-06,Very Poor
Jaipur,2020-04-04,Satisfactory
Patna,2018-01-29,Very Poor
Gurugram,2019-05-23,Moderate
Ahmedabad,2015-02-14,Severe
Ahmedabad,2015-07-15,Poor
Patna,2015-12-21,Severe
Jaipur,2018-12-08,Moderate
Hyderabad,2017-01-19,Moderate
Thiruvananthapuram,2019-08-23,Good
Shillong,2020-01-16,Satisfactory
Patna,2018-07-23,Satisfactory
Aizawl,2020-05-08,Good
Jaipur,2018-07-12,Moderate
Talcher,2020-05-30,Satisfactory
Bengaluru,2015-05-03,Satisfactory
Delhi,2018-06-09,Moderate
Patna,2017-01-31,Very Poor
Jaipur,2019-01-15,Moderate
Guwahati,2019-02-24,Poor
Bengaluru,2017-06-20,Satisfactory
Jorapokhar,2020-02-15,Moderate
Amritsar,2019-04-17,Satisfactory
Jaipur,2017-07-18,Satisfactory
Delhi,2017-07-04,Moderate
Guwahati,2019-10-19,Moderate
Lucknow,2020-06-12,Moderate
Hyderabad,2017-07-01,Satisfactory
Lucknow,2017-10-22,Very Poor
Jorapokhar,2019-01-12,Very Poor
Patna,2018-05-18,Moderate
Chennai,2017-10-06,Satisfactory
Patna,2019-03-08,Moderate
Mumbai,2019-10-29,Moderate
Gurugram,2018-08-03,Very Poor
Delhi,2018-05-20,Poor
Gurugram,2019-11-17,Poor
Amritsar,2020-03-11,Moderate
Delhi,2018-08-14,Moderate
Delhi,2016-02-07,Very Poor
Kolkata,2019-08-10,Satisfactory
Ahmedabad,2018-03-28,Severe
Bengaluru,2016-08-27,Satisfactory
Gurugram,2019-04-21,Moderate
Delhi,2015-10-03,Poor
Visakhapatnam,2017-02-26,Moderate
